SABOR,UNIDADE,QUANTIDADE,DATA,DIA DA SEMANA
COCO,GUARA,5,01/04/2026,quarta-feira
COCO,JARDIM,3,01/04/2026,quarta-feira
COCO,GILBERTO,2,01/04/2026,quarta-feira
COCO,BAHAMAS,1,01/04/2026,quarta-feira
COCO,CONTAINER,1,01/04/2026,quarta-feira
COCO,POSTO,0,01/04/2026,quarta-feira
COCO,ARNIQUEIRA,0,01/04/2026,quarta-feira
COCO,EPNB,2,01/04/2026,quarta-feira
COCO,GAMA,2,01/04/2026,quarta-feira
COCO,RECANTO,1,01/04/2026,quarta-feira
COCO,SAMAMBAIA,1,01/04/2026,quarta-feira
COCO,SAMAMBAIA SUL,4,01/04/2026,quarta-feira
COCO,PONTE ALTA,2,01/04/2026,quarta-feira
COCO,ALAMEDA,0,01/04/2026,quarta-feira
COCO,TAGUATINGA,2,01/04/2026,quarta-feira
COCO,CEILANDIA,1,01/04/2026,quarta-feira
COCO,VICENTE PIRES,1,01/04/2026,quarta-feira
TRIGO,QUADRA 1,4,01/04/2026,quarta-feira
TRIGO,CENTRAL,4,01/04/2026,quarta-feira
TRIGO,NOROESTE,1,01/04/2026,quarta-feira
TRIGO,ASA SUL,3,01/04/2026,quarta-feira
TRIGO,ASA NORTE,1,01/04/2026,quarta-feira
TRIGO,CONJ. NACIONAL,0,01/04/2026,quarta-feira
TRIGO,LOJINHA,0,01/04/2026,quarta-feira
TRIGO,SUDOESTE 1,1,01/04/2026,quarta-feira
TRIGO,SUDOESTE 2,0,01/04/2026,quarta-feira
TRIGO,GUARA,7,01/04/2026,quarta-feira
TRIGO,JARDIM,0,01/04/2026,quarta-feira
TRIGO,GILBERTO,1,01/04/2026,quarta-feira
TRIGO,BAHAMAS,4,01/04/2026,quarta-feira
TRIGO,CONTAINER,2,01/04/2026,quarta-feira
TRIGO,POSTO,4,01/04/2026,quarta-feira
TRIGO,ARNIQUEIRA,0,01/04/2026,quarta-feira
TRIGO,EPNB,2,01/04/2026,quarta-feira
TRIGO,GAMA,1,01/04/2026,quarta-feira
TRIGO,RECANTO,1,01/04/2026,quarta-feira
TRIGO,SAMAMBAIA,0,01/04/2026,quarta-feira
TRIGO,SAMAMBAIA SUL,2,01/04/2026,quarta-feira
TRIGO,PONTE ALTA,2,01/04/2026,quarta-feira
TRIGO,ALAMEDA,0,01/04/2026,quarta-feira
TRIGO,TAGUATINGA,6,01/04/2026,quarta-feira
TRIGO,CEILANDIA,0,01/04/2026,quarta-feira
TRIGO,VICENTE PIRES,3,01/04/2026,quarta-feira
LIMAO,QUADRA 1,3,01/04/2026,quarta-feira
LIMAO,CENTRAL,0,01/04/2026,quarta-feira
LIMAO,NOROESTE,6,01/04/2026,quarta-feira
LIMAO,ASA SUL,9,01/04/2026,quarta-feira
LIMAO,ASA NORTE,9,01/04/2026,quarta-feira
LIMAO,CONJ. NACIONAL,5,01/04/2026,quarta-feira
LIMAO,LOJINHA,1,01/04/2026,quarta-feira
LIMAO,SUDOESTE 1,5,01/04/2026,quarta-feira
LIMAO,SUDOESTE 2,6,01/04/2026,quarta-feira
LIMAO,GUARA,8,01/04/2026,quarta-feira
LIMAO,JARDIM,2,01/04/2026,quarta-feira
LIMAO,GILBERTO,3,01/04/2026,quarta-feira
LIMAO,BAHAMAS,5,01/04/2026,quarta-feira
LIMAO,CONTAINER,4,01/04/2026,quarta-feira
LIMAO,POSTO,2,01/04/2026,quarta-feira
LIMAO,ARNIQUEIRA,0,01/04/2026,quarta-feira
LIMAO,EPNB,0,01/04/2026,quarta-feira
LIMAO,GAMA,6,01/04/2026,quarta-feira
LIMAO,RECANTO,2,01/04/2026,quarta-feira
LIMAO,SAMAMBAIA,2,01/04/2026,quarta-feira
LIMAO,SAMAMBAIA SUL,0,01/04/2026,quarta-feira
LIMAO,PONTE ALTA,1,01/04/2026,quarta-feira
LIMAO,ALAMEDA,0,01/04/2026,quarta-feira
LIMAO,TAGUATINGA,8,01/04/2026,quarta-feira
LIMAO,CEILANDIA,5,01/04/2026,quarta-feira
LIMAO,VICENTE PIRES,1,01/04/2026,quarta-feira
MARACUJÁ,QUADRA 1,0,01/04/2026,quarta-feira
MARACUJÁ,CENTRAL,1,01/04/2026,quarta-feira
MARACUJÁ,NOROESTE,1,01/04/2026,quarta-feira
MARACUJÁ,ASA SUL,2,01/04/2026,quarta-feira
MARACUJÁ,ASA NORTE,2,01/04/2026,quarta-feira
MARACUJÁ,CONJ. NACIONAL,1,01/04/2026,quarta-feira
MARACUJÁ,LOJINHA,0,01/04/2026,quarta-feira
MARACUJÁ,SUDOESTE 1,2,01/04/2026,quarta-feira
MARACUJÁ,SUDOESTE 2,2,01/04/2026,quarta-feira
MARACUJÁ,GUARA,2,01/04/2026,quarta-feira
MARACUJÁ,JARDIM,1,01/04/2026,quarta-feira
MARACUJÁ,GILBERTO,0,01/04/2026,quarta-feira
MARACUJÁ,BAHAMAS,1,01/04/2026,quarta-feira
MARACUJÁ,CONTAINER,0,01/04/2026,quarta-feira
MARACUJÁ,POSTO,1,01/04/2026,quarta-feira
MARACUJÁ,ARNIQUEIRA,0,01/04/2026,quarta-feira
MARACUJÁ,EPNB,0,01/04/2026,quarta-feira
MARACUJÁ,GAMA,0,01/04/2026,quarta-feira
MARACUJÁ,RECANTO,0,01/04/2026,quarta-feira
MARACUJÁ,SAMAMBAIA,1,01/04/2026,quarta-feira
MARACUJÁ,SAMAMBAIA SUL,1,01/04/2026,quarta-feira
MARACUJÁ,PONTE ALTA,0,01/04/2026,quarta-feira
MARACUJÁ,ALAMEDA,1,01/04/2026,quarta-feira
MARACUJÁ,TAGUATINGA,2,01/04/2026,quarta-feira
MARACUJÁ,CEILANDIA,1,01/04/2026,quarta-feira
MARACUJÁ,VICENTE PIRES,1,01/04/2026,quarta-feira
CHOCOLATE,QUADRA 1,7,01/04/2026,quarta-feira
CHOCOLATE,CENTRAL,7,01/04/2026,quarta-feira
CHOCOLATE,NOROESTE,11,01/04/2026,quarta-feira
CHOCOLATE,ASA SUL,12,01/04/2026,quarta-feira
CHOCOLATE,ASA NORTE,10,01/04/2026,quarta-feira
CHOCOLATE,CONJ. NACIONAL,8,01/04/2026,quarta-feira
CHOCOLATE,LOJINHA,3,01/04/2026,quarta-feira
CHOCOLATE,SUDOESTE 1,8,01/04/2026,quarta-feira
CHOCOLATE,SUDOESTE 2,10,01/04/2026,quarta-feira
CHOCOLATE,GUARA,15,01/04/2026,quarta-feira
CHOCOLATE,JARDIM,5,01/04/2026,quarta-feira
CHOCOLATE,GILBERTO,6,01/04/2026,quarta-feira
CHOCOLATE,BAHAMAS,7,01/04/2026,quarta-feira
CHOCOLATE,CONTAINER,11,01/04/2026,quarta-feira
CHOCOLATE,POSTO,15,01/04/2026,quarta-feira
CHOCOLATE,ARNIQUEIRA,0,01/04/2026,quarta-feira
CHOCOLATE,EPNB,2,01/04/2026,quarta-feira
CHOCOLATE,GAMA,6,01/04/2026,quarta-feira
CHOCOLATE,RECANTO,7,01/04/2026,quarta-feira
CHOCOLATE,SAMAMBAIA,7,01/04/2026,quarta-feira
CHOCOLATE,SAMAMBAIA SUL,5,01/04/2026,quarta-feira
CHOCOLATE,PONTE ALTA,4,01/04/2026,quarta-feira
CHOCOLATE,ALAMEDA,2,01/04/2026,quarta-feira
CHOCOLATE,TAGUATINGA,13,01/04/2026,quarta-feira
CHOCOLATE,CEILANDIA,6,01/04/2026,quarta-feira
CHOCOLATE,VICENTE PIRES,4,01/04/2026,quarta-feira
AMEIXA,QUADRA 1,1,01/04/2026,quarta-feira
AMEIXA,CENTRAL,1,01/04/2026,quarta-feira
AMEIXA,NOROESTE,0,01/04/2026,quarta-feira
AMEIXA,ASA SUL,0,01/04/2026,quarta-feira
AMEIXA,ASA NORTE,1,01/04/2026,quarta-feira
